Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ChiÕn Cuång TuyÖt MÖnh Qu¸n	0	103	30151	30	40000	0	200	23;23					31174	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Trang bŞ sö dông cèt ®Çu nghiªn ma cña th­îng cæ chi long t¹o thµnh.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	6	0					
ChiÕn Cuång TuyÖt MÖnh Qu¸n	0	103	30152	30	40000	0	200	23;23					31175	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Trang bŞ sö dông cèt ®Çu nghiªn ma cña th­îng cæ chi long t¹o thµnh.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	6	0					
ChiÕn Cuång Bå T¸t Tr©m	0	103	30153	30	40000	0	200	17;25					31176	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Tõ bi vŞ hoµi ,tiÕp tÕ thiªn h¹.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	8	0					
ChiÕn Cuång Bå T¸t Tr©m	0	103	30154	30	40000	0	200	17;25					31177	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Tõ bi vŞ hoµi ,tiÕp tÕ thiªn h¹.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	8	0					
ChiÕn Cuång L­u Thñy Tr©m	0	103	30155	30	40000	0	200	23;23					31178	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Tİch h÷u b¸ nha phô cÇm ngé tri ©m, kim h÷u n÷ hiÖp tÊu cÇm hé quèc bang.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	9	0					
ChiÕn Cuång L­u Thñy Tr©m	0	103	30156	30	40000	0	200	23;23					31179	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Tİch h÷u b¸ nha phô cÇm ngé tri ©m, kim h÷u n÷ hiÖp tÊu cÇm hé quèc bang.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	9	0					
ChiÕn Cuång ThÇn Du C©n	0	103	30157	30	40000	0	200	25;17					31180	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Qu¶n tËn thiªn h¹ bÊt b×nh sù, dÜ thiªn vi c¸i ®Şa vi l­ .	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	11	0					
ChiÕn Cuång ThÇn Du C©n	0	103	30158	30	40000	0	200	25;17					31181	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Qu¶n tËn thiªn h¹ bÊt b×nh sù, dÜ thiªn vi c¸i ®Şa vi l­ .	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	11	0					
ChiÕn Cuång ThÇn Du C©n	0	103	30159	30	40000	0	200	25;17					31182	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Qu¶n tËn thiªn h¹ bÊt b×nh sù, dÜ thiªn vi c¸i ®Şa vi l­ .	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	11	0					
ChiÕn Cuång ThÇn Du C©n	0	103	30160	30	40000	0	200	25;17					31183	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Qu¶n tËn thiªn h¹ bÊt b×nh sù, dÜ thiªn vi c¸i ®Şa vi l­ .	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	11	0					
ChiÕn Cuång Tiªu Dao C©n	0	103	30161	30	40000	0	200	23;23					31184	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	NhÊt b¸t nhÊt c«n tÈu giang hå, tiªu dao kho¸i ho¹t töu nhÊt l«. 	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	12	0					
ChiÕn Cuång Tiªu Dao C©n	0	103	30162	30	40000	0	200	23;23					31185	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	NhÊt b¸t nhÊt c«n tÈu giang hå, tiªu dao kho¸i ho¹t töu nhÊt l«. 	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	12	0					
ChiÕn Cuång Tiªu Dao C©n	0	103	30163	30	40000	0	200	23;23					31186	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	NhÊt b¸t nhÊt c«n tÈu giang hå, tiªu dao kho¸i ho¹t töu nhÊt l«. 	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	12	0					
ChiÕn Cuång Tiªu Dao C©n	0	103	30164	30	40000	0	200	23;23					31187	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	NhÊt b¸t nhÊt c«n tÈu giang hå, tiªu dao kho¸i ho¹t töu nhÊt l«. 	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	12	0					
ChiÕn Cuång V« Vi Qu¸n	0	103	30165	30	40000	0	200	17;25					31188	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Tù nhiªn chi ®¹o bæn v« vi, nh­îc chÊp v« vi tøc h÷u vi.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	14	0					
ChiÕn Cuång V« Vi Qu¸n	0	103	30166	30	40000	0	200	17;25					31189	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Tù nhiªn chi ®¹o bæn v« vi, nh­îc chÊp v« vi tøc h÷u vi.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	14	0					
ChiÕn Cuång V« Vi Qu¸n	0	103	30167	30	40000	0	200	17;25					31190	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Tù nhiªn chi ®¹o bæn v« vi, nh­îc chÊp v« vi tøc h÷u vi.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	14	0					
ChiÕn Cuång V« Vi Qu¸n	0	103	30168	30	40000	0	200	17;25					31191	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Tù nhiªn chi ®¹o bæn v« vi, nh­îc chÊp v« vi tøc h÷u vi.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	14	0					
ChiÕn Cuång Cµn Kh«n Qu¸n	0	103	30169	30	40000	0	200	17;25					31192	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	CÊp thñ ®¹i ®Şa chi tinh, thô dÜ cµn kh«n chi lùc.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	15	0					
ChiÕn Cuång Cµn Kh«n Qu¸n	0	103	30170	30	40000	0	200	17;25					31193	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	CÊp thñ ®¹i ®Şa chi tinh, thô dÜ cµn kh«n chi lùc.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	15	0					
ChiÕn Cuång Cµn Kh«n Qu¸n	0	103	30171	30	40000	0	200	17;25					31194	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	CÊp thñ ®¹i ®Şa chi tinh, thô dÜ cµn kh«n chi lùc.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	15	0					
ChiÕn Cuång Cµn Kh«n Qu¸n	0	103	30172	30	40000	0	200	17;25					31195	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	CÊp thñ ®¹i ®Şa chi tinh, thô dÜ cµn kh«n chi lùc.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	15	0					
ChiÕn Cuång Thiªn Tinh  Kh«i	0	103	30173	30	40000	0	200	23;23					31196	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Lîi dông tßng thiªn nhi hµng ®İch, thÇn th¹ch t¸i t¹o kŞ gi¸p kiªn.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	17	0					
ChiÕn Cuång Thiªn Tinh  Kh«i	0	103	30174	30	40000	0	200	23;23					31197	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Lîi dông tßng thiªn nhi hµng ®İch, thÇn th¹ch t¸i t¹o kŞ gi¸p kiªn.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	17	0					
ChiÕn Cuång Thiªn Tinh  Kh«i	0	103	30175	30	40000	0	200	23;23					31198	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Lîi dông tßng thiªn nhi hµng ®İch, thÇn th¹ch t¸i t¹o kŞ gi¸p kiªn.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	17	0					
ChiÕn Cuång Thiªn Tinh  Kh«i	0	103	30176	30	40000	0	200	23;23					31199	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Lîi dông tßng thiªn nhi hµng ®İch, thÇn th¹ch t¸i t¹o kŞ gi¸p kiªn.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	17	0					
ChiÕn Cuång Xuyªn V©n Kh«i	0	103	30177	30	40000	0	200	17;25					31200	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Trang bŞ HËu NghÖ sö dông th¸i d­¬ng kh¶i gi¸p ®Ó luyÖn thµnh.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	18	0					
ChiÕn Cuång Xuyªn V©n Kh«i	0	103	30178	30	40000	0	200	17;25					31201	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Trang bŞ HËu NghÖ sö dông th¸i d­¬ng kh¶i gi¸p ®Ó luyÖn thµnh.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	18	0					
ChiÕn Cuång Xuyªn V©n Kh«i	0	103	30179	30	40000	0	200	17;25					31202	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Trang bŞ HËu NghÖ sö dông th¸i d­¬ng kh¶i gi¸p ®Ó luyÖn thµnh.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	18	0					
ChiÕn Cuång Xuyªn V©n Kh«i	0	103	30180	30	40000	0	200	17;25					31203	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Trang bŞ HËu NghÖ sö dông th¸i d­¬ng kh¶i gi¸p ®Ó luyÖn thµnh.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	18	0					
ChiÕn Cuång Minh T«n C©n	0	103	30181	30	40000	0	200	23;23					31204	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Vò khİ Khu Hån S­ sö dông, phµm nh©n khã mµ ®¹t ®­îc.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	20	0					
ChiÕn Cuång Minh T«n C©n	0	103	30182	30	40000	0	200	23;23					31205	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Vò khİ Khu Hån S­ sö dông, phµm nh©n khã mµ ®¹t ®­îc.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	20	0					
ChiÕn Cuång Minh T«n C©n	0	103	30183	30	40000	0	200	23;23					31206	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Vò khİ Khu Hån S­ sö dông, phµm nh©n khã mµ ®¹t ®­îc.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	20	0					
ChiÕn Cuång Minh T«n C©n	0	103	30184	30	40000	0	200	23;23					31207	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Vò khİ Khu Hån S­ sö dông, phµm nh©n khã mµ ®¹t ®­îc.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	20	0					
ChiÕn Cuång Cæ T©m C©n	0	103	30185	30	40000	0	200	17;25					31208	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Trang bŞ mµ dŞ vùc d­ìng cæ nh©n sö dông.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	21	0					
ChiÕn Cuång Cæ T©m C©n	0	103	30186	30	40000	0	200	17;25					31209	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Trang bŞ mµ dŞ vùc d­ìng cæ nh©n sö dông.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	21	0					
ChiÕn Cuång Cæ T©m C©n	0	103	30187	30	40000	0	200	17;25					31210	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Trang bŞ mµ dŞ vùc d­ìng cæ nh©n sö dông.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	21	0					
ChiÕn Cuång Cæ T©m C©n	0	103	30188	30	40000	0	200	17;25					31211	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Trang bŞ mµ dŞ vùc d­ìng cæ nh©n sö dông.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	21	0					
ChiÕn Cuång Phong L«i Qu¸n	0	103	30189	30	40000	0	200	17;25					31212	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	H« bµi s¬n ®¶o h¶i chi phong, ho¸n l«i ®×nh v¹n qu©n chi lùc.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	23	0					
ChiÕn Cuång Phong L«i Qu¸n	0	103	30190	30	40000	0	200	17;25					31213	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	H« bµi s¬n ®¶o h¶i chi phong, ho¸n l«i ®×nh v¹n qu©n chi lùc.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	23	0					
ChiÕn Cuång §¹i §Şa C©n	0	103	30191	30	40000	0	200	25;17					31214	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Trang bŞ Háa ThÇn Chóc Dung tõng sö dông.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	25	0					
ChiÕn Cuång §¹i §Şa C©n	0	103	30192	30	40000	0	200	25;17					31215	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Trang bŞ Háa ThÇn Chóc Dung tõng sö dông.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	25	0					
ChiÕn Cuång §¹i §Şa C©n	0	103	30193	30	40000	0	200	25;17					31216	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Trang bŞ Háa ThÇn Chóc Dung tõng sö dông.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	25	0					
ChiÕn Cuång §¹i §Şa C©n	0	103	30194	30	40000	0	200	25;17					31217	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Trang bŞ Háa ThÇn Chóc Dung tõng sö dông.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	25	0					
ChiÕn Cuång Tóy Méng Qu¸n	0	103	30195	30	40000	0	200	23;23					31218	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Sö dông kho¸ng th¹ch ë trªn Quang Minh §Ønh ®Ó luyÖn thµnh.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	26	0					
ChiÕn Cuång Tóy Méng Qu¸n	0	103	30196	30	40000	0	200	23;23					31219	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Sö dông kho¸ng th¹ch ë trªn Quang Minh §Ønh ®Ó luyÖn thµnh.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	26	0					
ChiÕn Cuång Tóy Méng Qu¸n	0	103	30197	30	40000	0	200	23;23					31220	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Sö dông kho¸ng th¹ch ë trªn Quang Minh §Ønh ®Ó luyÖn thµnh.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	26	0					
ChiÕn Cuång Tóy Méng Qu¸n	0	103	30198	30	40000	0	200	23;23					31221	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Sö dông kho¸ng th¹ch ë trªn Quang Minh §Ønh ®Ó luyÖn thµnh.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	26	0					
ChiÕn Cuång Ma Vùc  Qu¸n	0	103	30199	30	40000	0	200	23;23					31222	79	1	1		\image\item\cap\m1_hd_006a1.spr	\image\item\cap\m1_hd_006a0.spr	Trang bŞ ma giíi chİ t«n sö dông, cã thÓ gäi quû hån.	±ê×¼ÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	27	0					
ChiÕn Cuång Ma Vùc  Qu¸n	0	103	30200	30	40000	0	200	23;23					31223	79	1	2		\image\item\cap\m2_hd_006a1.spr	\image\item\cap\m2_hd_006a0.spr	Trang bŞ ma giíi chİ t«n sö dông, cã thÓ gäi quû hån.	¿ıÎàÄĞ³½ÉßÔÚËê¹Ú	§· khãa		9	1	1	27	0					
ChiÕn Cuång Ma Vùc  Qu¸n	0	103	30201	30	40000	0	200	23;23					31224	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Trang bŞ ma giíi chİ t«n sö dông, cã thÓ gäi quû hån.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	27	0					
ChiÕn Cuång Ma Vùc  Qu¸n	0	103	30202	30	40000	0	200	23;23					31225	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Trang bŞ ma giíi chİ t«n sö dông, cã thÓ gäi quû hån.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	27	0					
ChiÕn Cuång Th¸nh N÷  Tr©m	0	103	30203	30	40000	0	200	23;23					31226	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	T­¬ng truyÒn tiªn n÷ thiªn ®×nh tõng sö dông.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	29	0					
ChiÕn Cuång Th¸nh N÷  Tr©m	0	103	30204	30	40000	0	200	23;23					31227	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	T­¬ng truyÒn tiªn n÷ thiªn ®×nh tõng sö dông.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	29	0					
ChiÕn Cuång Th¸nh Linh Tr©m	0	103	30205	30	40000	0	200	23;23					31228	79	2	3		\image\item\cap\f2_hd_006a1.spr	\image\item\cap\f2_hd_006a0.spr	Phô h÷u ®iªu thÇn ®İch chóc phóc, sø dông gi¶ kh¾c d÷ ®iªu t©m.	ĞÔ¸ĞÅ®³½ÉßÔÚËêô¢	§· khãa		9	1	1	30	0					
ChiÕn Cuång Th¸nh Linh Tr©m	0	103	30206	30	40000	0	200	23;23					31229	79	2	4		\image\item\cap\f1_hd_006a1.spr	\image\item\cap\f1_hd_006a0.spr	Phô h÷u ®iªu thÇn ®İch chóc phóc, sø dông gi¶ kh¾c d÷ ®iªu t©m.	½¿Ğ¡Å®³½ÉßÔÚËêô¢	§· khãa		9	1	1	30	0					
Thiªn H¹ V« Song Kh«i	0	103	30207	30	200000	0	200	40;40					31230	70	1	1		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	UyÓn nh­îc ®İch tinh quang, th«i nhi ®o¹t môc. Dµnh cho VIP cao quı cña Vâ L©m TruyÒn Kú.	±ê×¼ÄĞÖËÔÆÍ·	§· khãa		10;10	1	1		0		99	12	16	9
Thiªn H¹ V« Song Kh«i	0	103	30208	30	200000	0	200	40;40					31231	70	1	2		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	UyÓn nh­îc ®İch tinh quang, th«i nhi ®o¹t môc. Dµnh cho VIP cao quı cña Vâ L©m TruyÒn Kú.	¿ıÎàÄĞÖËÔÆÍ·	§· khãa		10;10	1	1		0		99	12	16	9
Thiªn H¹ V« Song Kh«i	0	103	30209	30	200000	0	200	40;40					31232	70	2	3		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	UyÓn nh­îc ®İch tinh quang, th«i nhi ®o¹t môc. Dµnh cho VIP cao quı cña Vâ L©m TruyÒn Kú.	ĞÔ¸ĞÅ®ÖËÔÆÍ·	§· khãa		10;10	1	1		0		99	12	16	9
Thiªn H¹ V« Song Kh«i	0	103	30210	30	200000	0	200	40;40					31233	70	2	4		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	UyÓn nh­îc ®İch tinh quang, th«i nhi ®o¹t môc. Dµnh cho VIP cao quı cña Vâ L©m TruyÒn Kú.	½¿Ğ¡Å®ÖËÔÆÍ·	§· khãa		10;10	1	1		0		99	12	16	9
Tèng L«i Hæ Dòng SÜ Kh«i	0	103	30211	30	100000	0	100	30;30					31237	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Ãµ¹å×°ÄĞÃ±a1.spr	\image\item\cap\Ãµ¹å×°ÄĞÃ±a0.spr	ChiÕn kh«i dòng sÜ do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n c«ng ®¹t ®Õn 120000)	±ê×¼ÄĞÃµ¹åÍ·	§· khãa	\script\newbattles\battle_equipment_jungong.lua	8	1	1		0					
Tèng L«i Hæ Dòng SÜ Kh«i	0	103	30212	30	100000	0	100	30;30					31238	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Ãµ¹å×°ÄĞÃ±a1.spr	\image\item\cap\Ãµ¹å×°ÄĞÃ±a0.spr	ChiÕn kh«i dòng sÜ do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n c«ng ®¹t ®Õn 120000)	¿ıÎàÄĞÃµ¹åÍ·	§· khãa	\script\newbattles\battle_equipment_jungong.lua	8	1	1		0					
Tèng L«i Hæ Dòng SÜ Kh«i	0	103	30213	30	100000	0	100	30;30					31239	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Ãµ¹å×°Å®Ã±a1.spr	\image\item\cap\Ãµ¹å×°Å®Ã±a0.spr	ChiÕn kh«i dòng sÜ do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n c«ng ®¹t ®Õn 120000)	ĞÔ¸ĞÅ®Ãµ¹åÍ·	§· khãa	\script\newbattles\battle_equipment_jungong.lua	8	1	1		0					
Tèng L«i Hæ Dòng SÜ Kh«i	0	103	30214	30	100000	0	100	30;30					31240	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Ãµ¹å×°Å®Ã±a1.spr	\image\item\cap\Ãµ¹å×°Å®Ã±a0.spr	ChiÕn kh«i dòng sÜ do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n c«ng ®¹t ®Õn 120000)	½¿Ğ¡Å®Ãµ¹åÍ·	§· khãa	\script\newbattles\battle_equipment_jungong.lua	8	1	1		0					
Tèng L«i Hæ T­íng Kh«i	0	103	30215	30	200000	0	120	35;35					31241	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\m1_hd_021ba1.spr	\image\item\cap\m1_hd_021ba0.spr	ChiÕn kh«i t­íng qu©n do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n hµm t­íng qu©n hoÆc qu©n c«ng ®¹t ®Õn 800 000)	±ê×¼ÄĞÀ×»¢½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	9	1	1		0					
Tèng L«i Hæ T­íng Kh«i	0	103	30216	30	200000	0	120	35;35					31242	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\m2_hd_021ba1.spr	\image\item\cap\m2_hd_021ba0.spr	ChiÕn kh«i t­íng qu©n do Tø linh chi thÇn L«i Hæ cèng cho. <enter><color=Gold>( trang bŞ cÇn qu©n hµm t­íng qu©n hoÆc qu©n c«ng ®¹t ®Õn 800 000)	¿ıÎàÄĞÀ×»¢½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	9	1	1		0					
