Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30560	90	18000	0	300	0	202;381	378;672	1	86	31708	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30561	90	18000	0	300	0	202;381	378;672	1	86	31709	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30562	130	18000	0	300	0	239;399	119;199	1	110	31710	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30563	130	18000	0	300	0	239;399	119;199	1	110	31711	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30564	130	18000	0	300	0	239;399	119;199	1	110	31712	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30565	130	18000	0	300	0	239;399	119;199	1	110	31713	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0	6	30566	130	18000	0	300	0	199;468	99;234	1	95	31714	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅÇ¹14	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0	6	30567	130	18000	0	300	0	199;468	99;234	1	95	31715	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅÇ¹14	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0	6	30568	130	18000	0	300	0	199;468	99;234	1	95	31716	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅÇ¹14	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0	6	30569	130	18000	0	300	0	199;468	99;234	1	95	31717	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅÇ¹14	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0	4	30570	130	18000	0	300	1	248;404	124;202	1	86	31718	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅ¹­14	Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0	4	30571	130	18000	0	300	1	248;404	124;202	1	86	31719	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅ¹­14	Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0	4	30572	130	18000	0	300	1	248;404	124;202	1	86	31720	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅ¹­14	Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0	4	30573	130	18000	0	300	1	248;404	124;202	1	86	31721	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅ¹­14	Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	7	30574	215	18000	0	300	2	255;431	345;602	1	105	31722	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾µ¶14	Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	7	30575	215	18000	0	300	2	255;431	345;602	1	105	31723	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾µ¶14	Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	7	30576	215	18000	0	300	2	255;431	345;602	1	105	31724	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾µ¶14	Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	7	30577	215	18000	0	300	2	255;431	345;602	1	105	31725	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾µ¶14	Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30578	215	18000	0	300	2	255;431	288;517	1	105	31726	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30579	215	18000	0	300	2	255;431	288;517	1	105	31727	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30580	215	18000	0	300	2	255;431	288;517	1	105	31728	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30581	215	18000	0	300	2	255;431	288;517	1	105	31729	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30582	90	18000	0	300	0	202;381	378;672	1	86	31730	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	À¥ÂØ½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30583	90	18000	0	300	0	202;381	378;672	1	86	31731	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	À¥ÂØ½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30584	200	18000	0	300	0	336;583	168;291	1	100	31732	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ìµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30585	200	18000	0	300	0	336;583	168;291	1	100	31733	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ìµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30586	200	18000	0	300	0	336;583	168;291	1	100	31734	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ìµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30587	200	18000	0	300	0	336;583	168;291	1	100	31735	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ìµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30588	130	18000	0	300	0	336;583	168;291	1	110	31736	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30589	130	18000	0	300	0	336;583	168;291	1	110	31737	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30590	130	18000	0	300	0	336;583	168;291	1	110	31738	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0	9	30591	130	18000	0	300	0	336;583	168;291	1	110	31739	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì±Ê14	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30592	215	18000	0	300	2	202;381	378;672	1	105	31740	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30593	215	18000	0	300	2	202;381	378;672	1	105	31741	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30594	215	18000	0	300	2	202;381	378;672	1	105	31742	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Cao CÊp)	0	11	30595	215	18000	0	300	2	202;381	378;672	1	105	31743	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦14	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n PhiÕn (Cao CÊp)	0	13	30596	140	18000	0	300	0	258;549	220;469	1	87	31744	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌÉÈ14	Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n PhiÕn (Cao CÊp)	0	13	30597	140	18000	0	300	0	258;549	220;469	1	87	31745	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌÉÈ14	Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n §Şch (Cao CÊp)	0	12	30598	130	18000	0	300	0	199;433	101;226	1	87	31746	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌµÑ14	Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông T­íng Qu©n §Şch (Cao CÊp)	0	12	30599	130	18000	0	300	0	199;433	101;226	1	87	31747	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌµÑ14	Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông Nguyªn So¸i §ao (S¬ CÊp)	0	3	30600	200	18000	0	300	0	320;556	160;278	1	100	31932	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ÉÙÁÖµ¶12	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông Nguyªn So¸i Tr­îng (S¬ CÊp)	0	8	30601	100	18000	0	300	0	217;411	331;565	1	86	31933	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ÉÙÁÖìø12	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông Nguyªn So¸i Thñ (S¬ CÊp)	0	0	30602	50	18000	0	300	0	329;574	286;493	1	90	31934	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông Nguyªn So¸i Ch©m (S¬ CÊp)	0	1	30603	50	18000	0	300	0	204;336	102;168	1	80	31935	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	°µÆ÷	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông Nguyªn So¸i KiÕm (S¬ CÊp)	0	2	30604	90	18000	0	300	0	193;363	360;640	1	86	31936	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¶ëÃ¼½£12	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông Nguyªn So¸i CÇm (S¬ CÊp)	0	10	30605	140	18000	0	300	1	250;420	288;490	1	90	31937	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¶ëÃ¼ÇÙ12	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông Nguyªn So¸i Thñ (S¬ CÊp)	0	0	30606	50	18000	0	300	0	329;574	286;493	1	90	31938	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
